step,membrane_thickness,peptides_membrane,peptides_cytoplasm,peptides_discarded,cytoplasm_full
0,12,0,1,0,False
1,12,0,2,0,False
2,12,0,3,0,False
3,12,0,4,0,False
4,12,0,5,0,False
5,12,0,6,0,False
6,12,0,7,0,False
7,12,0,8,0,False
8,12,0,9,0,False
9,12,0,10,0,False
10,12,0,11,0,False
11,12,0,12,0,False
12,12,0,13,0,False
13,12,0,14,0,False
14,12,0,15,0,False
15,12,0,16,0,False
16,13,1,16,0,False
17,13,1,17,0,False
18,13,1,18,0,False
19,13,1,19,0,False
20,13,1,20,0,False
21,13,1,21,0,False
22,13,1,22,0,False
23,13,1,23,0,False
24,13,1,24,0,False
25,13,1,25,0,False
26,13,1,26,0,False
27,13,1,27,0,False
28,13,1,28,0,False
29,13,1,29,0,False
30,13,1,30,0,False
31,13,1,31,0,False
32,13,1,32,0,False
33,13,1,33,0,False
34,13,1,34,0,False
35,13,1,35,0,False
36,13,1,36,0,False
37,13,1,37,0,False
38,13,1,38,0,False
39,13,1,39,0,False
40,13,1,40,0,False
41,13,1,41,0,False
42,13,1,42,0,False
43,13,1,43,0,False
44,13,1,44,0,False
45,13,1,45,0,False
46,13,1,46,0,False
47,13,1,47,0,False
48,13,1,48,0,False
49,13,1,49,0,False
50,13,1,50,0,False
51,13,1,51,0,False
52,13,1,52,0,False
53,13,1,53,0,False
54,13,1,54,0,False
55,13,1,55,0,False
56,13,1,56,0,False
57,13,1,57,0,False
58,13,1,58,0,False
59,13,1,59,0,False
60,13,1,60,0,False
61,13,1,61,0,False
62,13,1,62,0,False
63,13,1,63,0,False
64,13,1,64,0,False
65,13,1,65,0,False
66,13,1,66,0,False
67,13,1,67,0,False
68,13,1,68,0,False
69,13,1,69,0,False
70,13,1,70,0,False
71,13,1,71,0,False
72,13,1,72,0,False
73,13,1,73,0,False
74,13,1,74,0,False
75,13,1,75,0,False
76,13,1,76,0,False
77,13,1,77,0,False
78,13,1,78,0,False
79,13,1,79,0,False
80,13,1,80,0,False
81,13,1,81,0,False
82,13,1,82,0,False
83,13,1,83,0,False
84,13,1,84,0,False
85,13,1,85,0,False
86,13,1,86,0,False
87,13,1,87,0,False
88,13,1,88,0,False
89,13,1,89,0,False
90,13,1,90,0,False
91,13,1,91,0,False
92,13,1,92,0,False
93,13,1,93,0,False
94,13,1,94,0,False
95,13,1,95,0,False
96,13,1,96,0,False
97,13,1,97,0,False
98,13,1,98,0,False
99,13,1,99,0,False
100,13,1,100,0,False
101,13,1,101,0,False
102,13,1,102,0,False
103,13,1,103,0,False
104,13,1,104,0,False
105,13,1,105,0,False
106,13,1,106,0,False
107,13,1,107,0,False
108,13,1,108,0,False
109,13,1,109,0,False
110,13,1,110,0,False
111,13,1,111,0,False
112,13,1,112,0,False
113,13,1,113,0,False
114,13,1,114,0,False
